datetime,temperature,wind_speed,rain,precipitation
2024-09-23 00:00:00,12.0,6.6,0.0,0.0
2024-09-23 01:00:00,11.1,7.3,0.0,0.0
2024-09-23 02:00:00,10.8,6.8,0.0,0.0
2024-09-23 03:00:00,10.3,7.9,0.0,0.0
2024-09-23 04:00:00,9.8,8.2,0.0,0.0
2024-09-23 05:00:00,9.5,8.1,0.0,0.0
2024-09-23 06:00:00,11.6,6.5,0.0,0.0
2024-09-23 07:00:00,14.1,4.7,0.0,0.0
2024-09-23 08:00:00,16.6,4.0,0.0,0.0
2024-09-23 09:00:00,19.0,2.9,0.0,0.0
2024-09-23 10:00:00,21.3,3.1,0.0,0.0
2024-09-23 11:00:00,22.7,3.7,0.0,0.0
2024-09-23 12:00:00,23.5,2.8,0.0,0.0
2024-09-23 13:00:00,24.2,3.7,0.0,0.0
2024-09-23 14:00:00,24.3,4.0,0.0,0.0
2024-09-23 15:00:00,24.0,4.0,0.0,0.0
2024-09-23 16:00:00,22.5,3.5,0.0,0.0
2024-09-23 17:00:00,19.9,6.6,0.0,0.0
2024-09-23 18:00:00,18.9,9.1,0.0,0.0
2024-09-23 19:00:00,18.2,10.4,0.0,0.0
2024-09-23 20:00:00,17.6,10.5,0.0,0.0
2024-09-23 21:00:00,16.9,10.7,0.0,0.0
2024-09-23 22:00:00,16.3,9.7,0.0,0.0
2024-09-23 23:00:00,15.9,9.2,0.0,0.0
